Item;SKU;Descrição;Qtd. Itens;Unid Med;Des Categoria;Peso Liquido;Peso Bruto SKU;Altura;Largura;Comprimento;Volume m3;Qtd. CX Altura;Qtd. CX Lastro;Cod. Barras;Clasificação ABC;Caixa
48LTG40FAR00;48LTG40FAR00;LAMPADA LED, TIPO TUBULAR T8, EMBALAGEM TIPO CAIXA, COM DISPOSITIVO DE CONTR;1;PC;LAMPADA;0,22;0,4;0,03;0,03;2,38;0,002142;16;25;;;UNIDADE
48LTG40FAR00;48LTG40FAR00CX ;LAMPADA TUBO LED T8 40W BIVOLT 6500K AR ;10;PC;LAMPADA;0,22;5;0,06;0,195;2,42;0,028314;8;5;;;MASTER
48LUMESABATB;48LUMESABATB;LUMINARIA LED, TIPO MESA/ABAJUR, EMBALAGEM TIPO CAIXA, POSSUI COR BRANCA , B;1;PC;LAMPADA;0,001;0,347;0,12;0,12;0,12;0,001728;10;60;7,90841E+12;;UNIDADE
48LUMESABATB;48LUMESABATBCX ;LUMINARIA LED, TIPO MESA/ABAJUR, EMBALAGEM TIPO CAIXA, POSSUI COR BRANCA , B;6;PC;LAMPADA;0,001;2,4;0,14;0,25;0,38;0,0133;10;10;7,90841E+12;;MASTER
48LUMESABATP;48LUMESABATP;LUMINARIA LED, TIPO MESA/ABAJUR, EMBALAGEM TIPO CAIXA, POSSUI COR PRETA , BO;1;PC;LAMPADA;0,001;0,4;0,12;0,11;0,11;0,001452;8;60;7,90841E+12;;UNIDADE
48LUMESABATP;48LUMESABATPCX ;LUMINARIA LED, TIPO MESA/ABAJUR, EMBALAGEM TIPO CAIXA, POSSUI COR PRETA , BO;6;PC;LAMPADA;0,001;2,4;0,14;0,26;0,375;0,01365;8;10;7,90841E+12;;MASTER
48LUMESAOFP0;48LUMESAOFP0;LUMINARIA, TIPO MESA/ABAJUR, POSSUI SOQUETE E27, EMBALAGEM TIPO CAIXA,POSSUI;1;PC;LAMPADA;0,001;0,7;0,185;0,16;0,15;0,00444;6;42;7,90841E+12;;UNIDADE
48LUMESAOFP0;48LUMESAOFP0CX ;LUMINARIA, TIPO MESA/ABAJUR, POSSUI SOQUETE E27, EMBALAGEM TIPO CAIXA,POSSUI;6;PC;LAMPADA;0,001;5,32;0,2;0,32;0,495;0,03168;6;7;7,90841E+12;;MASTER
48LUMESAPIX0;48LUMESAPIX0;LUMINARIA, TIPO MESA/ABAJUR, POSSUI SOQUETE E27, EMBALAGEM TIPO CAIXA,POSSUI;1;PC;LAMPADA;0,001;1,4;0,225;0,17;0,17;0,006503;5;42;;;UNIDADE
48LUMESAPIX0;48LUMESAPIX0CX ;LUMINARIA, TIPO MESA/ABAJUR, POSSUI SOQUETE E27, EMBALAGEM TIPO CAIXA,POSSUI;6;PC;LAMPADA;0,001;8,5;0,25;0,336;0,53;0,04452;5;7;;;MASTER
