Item;SKU;Descrição;Qtd. Itens;Unid Med;Des Categoria;Peso Liquido;Peso Bruto SKU;Altura;Largura;Comprimento;Volume m3;Qtd. CX Altura;Qtd. CX Lastro;Cod. Barras;Clasificação ABC;Caixa
42SAN2002000;42SAN2002000;SANDUICHEIRA GRILL 800W 220V;1;PC;ELET - COZINHA;0,1;1,05;0,24;0,24;0,1;0,00576;6;40;42SAN2002000;A;UNIDADE
42SAN2002000;42SAN2002000 MASTER;SANDUICHEIRA GRILL 800W 220V;10;PC;ELET - COZINHA;0,1;10,9;0,495;0,495;0,255;0,062481;3;8;42SAN2002000CX;A;MASTER
42SAN2002000;42SAN2002000 MASTER;SANDUICHEIRA GRILL 800W 220V;10;PC;ELET - COZINHA;0,1;10,9;0,495;0,495;0,255;0,062481;3;8;17908412544993;A;MASTER
42SAN2001000;42SAN2001000;SANDUICHEIRA GRILL 800W 127V;1;PC;ELET - COZINHA;0,1;1,05;0,1;0,1;0,1;0,001;6;40;7908412544934;A;UNIDADE
42SAN2001000;42SAN2001000;SANDUICHEIRA GRILL 800W 127V;1;PC;ELET - COZINHA;0,1;1,05;0,1;0,1;0,1;0,001;6;40;42SAN2001000;A;UNIDADE
42SAN2001000;42SAN2001000 MASTER;SANDUICHEIRA GRILL 800W 127V;10;PC;ELET - COZINHA;0,1;10,9;0,5;0,25;0,515;0,064375;3;8;42SAN2001000CX;A;MASTER
42SAN2001000;42SAN2001000 MASTER;SANDUICHEIRA GRILL 800W 127V;10;PC;ELET - COZINHA;0,1;10,9;0,5;0,25;0,515;0,064375;3;8;17908412544931;A;MASTER
42MIX3R01000;42MIX3R01000;MIXER 3 EM 1 VM - 127V;1;PC;ELET - COZINHA;0,1;1,5;0,235;0,12;0,217;0,006119;4;16;7908412551925;B;UNIDADE
42MIX3R01000;42MIX3R01000;MIXER 3 EM 1 VM - 127V;1;PC;ELET - COZINHA;0,1;1,5;0,235;0,12;0,217;0,006119;4;16;42MIX3R01000;B;UNIDADE
42MIX3R01000;42MIX3R01000 MASTER;MIXER 3 EM 1 VM - 127V;8;PC;ELET - COZINHA;0,1;13;0,253;0,447;0,497;0,056206;5;4;17908412551922;B;MASTER
42MIX3R02000;42MIX3R02000;MIXER 3 EM 1 VM - 220V;1;PC;ELET - COZINHA;0,1;1,5;0,235;0,12;0,217;0,006119;4;16;7908412551932;B;UNIDADE
42MIX3R02000;42MIX3R02000;MIXER 3 EM 1 VM - 220V;1;PC;ELET - COZINHA;0,1;1,5;0,235;0,12;0,217;0,006119;4;16;42MIX3R02000;B;UNIDADE
42MIX3R02000;42MIX3R02000MASTER;MIXER 3 EM 1 VM - 220V;8;PC;ELET - COZINHA;0,1;13;0,253;0,447;0,497;0,056206;5;4;17908412551939;B;MASTER
42MFP1002000;42MFP1002000;MINI PROCESSADOR ALIM 220V;1;PC;ELETROPORTATEIS;0,1;1,1;0,15;0,125;0,206;0,003863;8;36;7908412552212;B;UNIDADE
42MFP1002000;42MFP1002000 MASTER;MINI PROCESSADOR ALIM 220V;12;PC;ELETROPORTATEIS;0,1;14,2;0,32;0,385;0,425;0,05236;4;6;17908412552219;B;MASTER
42AFR5001000;42AFR5001000;FRITADEIRA A AR AFR5001 3,5L PT 127V;1;PC;AIR FRYER;0,1;3,7;0,318;0,3;0,34;0,032436;4;12;7908412514500;B;UNIDADE
42AFR5001000;42AFR5001000;FRITADEIRA A AR AFR5001 3,5L PT 127V;1;PC;AIR FRYER;0,1;3,7;0,318;0,3;0,34;0,032436;4;12;42AFR5001000;B;UNIDADE
42AFR5001000;42AFR5001000CX;FRITADEIRA A AR AFR5001 3,5L PT 127V;2;PC;AIR FRYER;0,1;7,6;0,33;0,31;0,62;0,063426;4;6;42AFR5001000CX;B;MASTER
42AFR5001000;42AFR5001000CX;FRITADEIRA A AR AFR5001 3,5L PT 127V;2;PC;AIR FRYER;0,1;7,6;0,33;0,31;0,62;0,063426;4;6;27908412514504;B;MASTER
42AFR5002000;42AFR5002000;FRITADEIRA A AR AFR5002 3,5L PT 220V;1;PC;AIR FRYER;0,1;3,7;0,318;0,3;0,34;0,032436;4;12;7908412514524;B;UNIDADE
42AFR5002000;42AFR5002000;FRITADEIRA A AR AFR5002 3,5L PT 220V;1;PC;AIR FRYER;0,1;3,7;0,318;0,3;0,34;0,032436;4;12;42AFR5002000;B;UNIDADE
42AFR5002000;42AFR5002000CX;FRITADEIRA A AR AFR5002 3,5L PT 220V;2;PC;AIR FRYER;0,1;7,6;0,33;0,31;0,62;0,063426;4;6;42AFR5002000CX;B;MASTER
42AFR5002000;42AFR5002000CX;FRITADEIRA A AR AFR5002 3,5L PT 220V;2;PC;AIR FRYER;0,1;7,6;0,33;0,31;0,62;0,063426;4;6;27908412514528;B;MASTER
42FVA0001000;42FVA0001000;FERRO A VAPOR 1200W - 127V;1;PC;ELET - CASA;0,1;0,65;0,125;0,105;0,25;0,003281;8;54;7908412553356;B;UNIDADE
42FVA0001000;42FVA0001000;FERRO A VAPOR 1200W - 127V;1;PC;ELET - CASA;0,1;0,65;0,125;0,105;0,25;0,003281;8;54;42FVA0001000;B;UNIDADE
